Market,Facility,Sales Order #,Work Order #,Customer Reference Number,Alternate Reference Number,Booked Date,Sales Order Status,Work Order Status,Operational Status,Scheduling Status,Receiving Status,Work Order Hold Type,Status Updated Date,Order Category,Original Scheduled Date,Scheduled Date,Deliver By Date,Sales Order ClosedDate,Work Order ClosedDate,Days to First Call,Days to Schedule,Courtesy Call Date,First Schedule Attempt,First Offered Date,Last Call Date,First Schedule Date,Rescheduled Date,Scheduling Attempts,Not At Home Exception,Weather Exception,Refused Exception,Stop Exception,Item Exception,Base Services,Service Windows,Customer City,Customer State,CustomerZip,Customer loc Lattitude,Avg Miles Per Order
LMH Denver,LAST MILE HUB DENVER,0000060AC5KD8000006000,0000060AC5MR6000004000,TONAL1000151797,1000151797,2/18/2021,Void,Cancelled,Cancelled,Not Ready to Schedule,Not Received,No Hold,4/15/2021,Delivery,,1/1/1900,,,,,,,,,,,,,,,,,,White Glove,06:00:00 - 18:00:00,PARKER,CO,80134,39.4851720000,26.08
LMH Denver,LAST MILE HUB DENVER,00000618SJSF0000004000,00000618SJUJE000004000,TONAL1000149649,1000149649,2/18/2021,Open,Open,Routed,Date Scheduled,Fully Received,No Hold,4/28/2021,Delivery,4/30/2021,4/30/2021,4/30/2021,,,7,7,4/22/2021,4/22/2021,4/30/2021,4/22/2021,4/22/2021,4/30/2021,1,,,,,,White Glove,07:00:00 - 22:00:00,PARKER,CO,80134,39.5177497000,24.37
LMH Denver,LAST MILE HUB DENVER,000005S932FHQ000004000,000005S932I22000004000,TONAL1000138396,1000138396,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/9/2021,Delivery,4/9/2021,4/9/2021,4/9/2021,4/9/2021,4/9/2021,10,10,3/25/2021,,4/9/2021,3/25/2021,3/25/2021,4/9/2021,1,,,,,,White Glove,11:00:00 - 15:00:00,PEYTON,CO,80831,38.9866933000,78.08
LMH Denver,LAST MILE HUB DENVER,00000604IH9CA000002000,0000060OEID4C000002000,TONAL1000117525,,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/22/2021,Delivery,4/23/2021,4/22/2021,4/22/2021,4/22/2021,4/22/2021,5,5,4/17/2021,,4/23/2021,4/22/2021,4/17/2021,4/22/2021,1,,,,,,White Glove,11:00:00 - 15:00:00,PEYTON,CO,80831,38.9638851000,76.88
LMH Denver,LAST MILE HUB DENVER,000005LLQAR0A000004000,000005LLQAVLE000006000,TONAL1000117057,1000117057,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/16/2021,Delivery,2/16/2021,2/16/2021,2/16/2021,2/16/2021,2/16/2021,3,3,2/5/2021,,,2/5/2021,2/5/2021,2/16/2021,0,,,,,,White Glove,13:00:00 - 17:00:00,PUEBLO,CO,81001,38.3116923000,114.72
LMH Denver,LAST MILE HUB DENVER,000005ST0F3TU000006000,000005ST0F6G6000006000,TONAL1000144743,1000144743,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/15/2021,Delivery,4/15/2021,4/15/2021,4/15/2021,4/15/2021,4/15/2021,17,17,4/5/2021,,,4/15/2021,4/5/2021,4/15/2021,2,,,,"Out of Time Window,",,White Glove,12:00:00 - 16:00:00,PUEBLO,CO,81004,38.2691899000,116.93
LMH Denver,LAST MILE HUB DENVER,000005SELMF7U000006000,000005SELMGV8000002000,TONAL1000139377,1000139377,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/15/2021,Delivery,4/15/2021,4/15/2021,4/15/2021,4/15/2021,4/15/2021,21,21,4/7/2021,,,4/15/2021,4/7/2021,4/15/2021,4,,,,"Out of Time Window,",,White Glove,11:00:00 - 15:00:00,PUEBLO WEST,CO,81007,38.3112629000,118.06
LMH Denver,LAST MILE HUB DENVER,0000060ABJALK000006000,0000060ABJD8Q000002000,TONAL1000150582,1000150582,2/18/2021,Void,Cancelled,Cancelled,Not Ready to Schedule,Not Received,No Hold,4/15/2021,Delivery,,1/1/1900,,,,,,,,,,,,,,,,,,White Glove,06:00:00 - 18:00:00,RIFLE,CO,81650,39.5647911000,194.32
LMH Denver,LAST MILE HUB DENVER,000005Q6IGHVC000006000,000005Q6IGJNM000002000,TONAL1000125304,1000125304,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/31/2021,Delivery,3/30/2021,3/30/2021,3/30/2021,3/31/2021,3/30/2021,13,13,3/16/2021,,,3/16/2021,3/16/2021,3/30/2021,5,,,,,,White Glove,13:00:00 - 17:00:00,SCOTTSBLUFF,NE,69361,41.9020385000,220.57
LMH Denver,LAST MILE HUB DENVER,000005QL8R9RS000004000,000005QL8RE8M000004000,TONAL1000129173,1000129173,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/22/2021,Delivery,3/22/2021,3/22/2021,3/22/2021,3/22/2021,3/22/2021,13,13,3/18/2021,,,3/18/2021,3/18/2021,3/22/2021,3,,,,"Out of Time Window,",,White Glove,14:00:00 - 18:00:00,SNOWMASS VILLAGE,CO,81615,39.2093350000,209.99
LMH Denver,LAST MILE HUB DENVER,000005OD3JSCM000004000,000005OD3JUGE000004000,738846,1000122141,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/23/2021,Delivery,3/15/2021,3/23/2021,3/23/2021,3/23/2021,3/23/2021,14,14,3/5/2021,,,3/15/2021,3/5/2021,3/23/2021,2,,,,,,White Glove,11:00:00 - 15:00:00,STEAMBOAT SPRINGS,CO,80487,40.4628852000,167.43
LMH Denver,LAST MILE HUB DENVER,000005Q6K7FLK000006000,000005Q6K7HOE000002000,TONAL1000126824,1000126824,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/18/2021,Delivery,3/18/2021,3/18/2021,3/18/2021,3/18/2021,3/18/2021,6,6,3/9/2021,,,3/9/2021,3/9/2021,3/18/2021,2,,,,"Out of Time Window,",,White Glove,11:00:00 - 15:00:00,STEAMBOAT SPRINGS,CO,80487,40.5008131000,170.47
LMH Denver,LAST MILE HUB DENVER,000005MLCG3D8000006000,000005MLCG5E0000002000,737201,1000121179,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/3/2021,Delivery,3/3/2021,3/3/2021,3/3/2021,3/3/2021,3/3/2021,17,17,2/26/2021,,,3/2/2021,2/26/2021,3/3/2021,4,,,,,,White Glove,10:00:00 - 14:00:00,STERLING,CO,80751,40.5955369000,132.34
LMH Denver,LAST MILE HUB DENVER,000005SEH41PO000004000,000005SEH44AI000002000,TONAL1000139531,1000139531,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/26/2021,Delivery,4/17/2021,4/24/2021,4/24/2021,4/26/2021,4/24/2021,17,17,4/3/2021,,,4/17/2021,4/3/2021,4/24/2021,1,,,,,,White Glove,13:00:00 - 17:00:00,STERLING,CO,80751,40.6128896000,120.91
LMH Denver,LAST MILE HUB DENVER,000005S8NKFA2000006000,000005S8NKI2C000002000,TONAL1000132875,1000132875,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/29/2021,Delivery,3/29/2021,3/29/2021,3/29/2021,3/29/2021,3/29/2021,10,10,3/25/2021,3/25/2021,3/29/2021,3/29/2021,3/25/2021,3/29/2021,2,,,,,,White Glove,09:00:00 - 13:00:00,THORNTON,CO,80233,39.9076528000,19.7
LMH Denver,LAST MILE HUB DENVER,0000060AAEO66000002000,0000060AAEQJM000006000,TONAL1000148711,1000148711,2/18/2021,Void,Cancelled,Cancelled,Not Ready to Schedule,Not Received,No Hold,4/15/2021,Delivery,,1/1/1900,,,,,,,,,,,,,,,,,,White Glove,06:00:00 - 18:00:00,THORNTON,CO,80602,39.9667011000,25.34
LMH Denver,LAST MILE HUB DENVER,000005R9MC5CE000002000,000005R9MC7RE000004000,TONAL1000134416,1000134416,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/7/2021,Delivery,4/7/2021,4/7/2021,4/7/2021,4/7/2021,4/7/2021,,,,,4/15/2021,,,4/7/2021,,,,,"Out of Time Window,",,White Glove,09:00:00 - 13:00:00,TIMNATH,CO,80547,40.5274205000,63.28
LMH Denver,LAST MILE HUB DENVER,000005LLD57KC000002000,000005LLD59NS000006000,TONAL1000103794RMA2A,1000103794-RMA2,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/15/2021,Delivery,2/15/2021,2/15/2021,2/15/2021,2/15/2021,2/15/2021,3,3,2/4/2021,,,2/4/2021,2/4/2021,2/15/2021,0,,,,,,White Glove,11:00:00 - 15:00:00,VAIL,CO,81657,39.6373390000,106.09
LMH Denver,LAST MILE HUB DENVER,000005O2V7442000004000,000005O2V76EO000002000,TONAL1000122687,1000122687,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/25/2021,Delivery,2/25/2021,2/25/2021,2/25/2021,2/25/2021,2/25/2021,5,5,2/22/2021,2/22/2021,2/25/2021,2/24/2021,2/22/2021,2/25/2021,2,,,,,,White Glove,10:00:00 - 14:00:00,WESTMINSTER,CO,80031,39.8683874000,18.42
LMH Denver,LAST MILE HUB DENVER,000005OD2FBP0000004000,000005OD2FE9O000004000,738837,1000122778,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/8/2021,Delivery,3/8/2021,3/8/2021,3/8/2021,3/8/2021,3/8/2021,12,12,3/3/2021,3/3/2021,3/8/2021,3/3/2021,3/3/2021,3/8/2021,2,,,,,,White Glove,09:00:00 - 13:00:00,WESTMINSTER,CO,80031,39.8793929000,17.83
LMH Denver,LAST MILE HUB DENVER,000005Q6JL3HC000006000,000005Q6JL642000002000,TONAL1000123974,1000123974,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/12/2021,Delivery,3/12/2021,3/12/2021,3/12/2021,3/12/2021,3/12/2021,6,6,3/8/2021,3/8/2021,3/11/2021,3/12/2021,3/8/2021,3/12/2021,2,,,,,,White Glove,10:00:00 - 14:00:00,WHEAT RIDGE,CO,80212,39.7623262000,16.68
LMH Denver,LAST MILE HUB DENVER,000005QL6I2DS000002000,000005QL6I54K000002000,TONAL1000127570,1000127570,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/24/2021,Delivery,4/21/2021,4/24/2021,4/24/2021,4/24/2021,4/24/2021,7,7,3/12/2021,3/12/2021,3/17/2021,4/24/2021,3/12/2021,4/24/2021,2,,,,,,White Glove,10:00:00 - 14:00:00,WHEAT RIDGE,CO,80033,39.7788690000,18.94
LMH Denver,LAST MILE HUB DENVER,000005R9LPPKI000002000,000005R9LPRQ2000006000,TONAL1000131955,1000131955,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/1/2021,Delivery,4/1/2021,4/1/2021,4/1/2021,4/1/2021,4/1/2021,16,16,3/25/2021,3/25/2021,4/1/2021,3/25/2021,3/25/2021,4/1/2021,3,,,,,,White Glove,09:00:00 - 13:00:00,WINDSOR,CO,80550,40.4546939000,58.78
LMH Denver,LAST MILE HUB DENVER,000005ST11F6U000002000,000005ST11IEI000002000,TONAL1000145204,1000145204,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/8/2021,Delivery,4/8/2021,4/8/2021,4/8/2021,4/8/2021,4/8/2021,12,12,3/30/2021,3/29/2021,4/1/2021,3/30/2021,3/30/2021,4/8/2021,4,,,,,,White Glove,11:00:00 - 15:00:00,WINDSOR,CO,80550,40.4668361000,60.98
LMH Denver,LAST MILE HUB DENVER,00000618UAPE2000006000,00000618UARFI000002000,TONAL1000148354,1000148354,2/18/2021,Open,Open,Ready to Route,Date Scheduled,Fully Received,No Hold,4/15/2021,Delivery,5/6/2021,5/6/2021,5/6/2021,,,12,12,4/27/2021,4/27/2021,5/6/2021,4/27/2021,4/27/2021,5/6/2021,2,,,,,,White Glove,07:00:00 - 22:00:00,WINDSOR,CO,80550,40.4592870000,60.02
LMH Denver,LAST MILE HUB DENVER,00000626V4Q02000006000,00000626V4SCK000006000,TONAL1000145204RMA,1000145204-RMA,2/18/2021,Open,Open,Ready to Route,Not Ready to Schedule,Not Received,No Hold,4/21/2021,Delivery,,1/1/1900,,,,,,,,,,,,,,,,,,White Glove,06:00:00 - 18:00:00,WINDSOR,CO,80550,40.4668361000,60.98
LMH Denver,LAST MILE HUB DENVER,000005SENVPTM000006000,000005SENVSGO000004000,TONAL1000139014,1000139014,2/18/2021,In Progress,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/21/2021,Delivery,4/20/2021,4/20/2021,4/20/2021,,4/21/2021,30,30,4/16/2021,,,4/16/2021,4/16/2021,4/20/2021,4,Not At Home/Business Closed,,,"Cannot Perform Stop,",,White Glove,12:00:00 - 16:00:00,WOLCOTT,CO,81655,39.6813086000,131.34
LMH Denver,LAST MILE HUB DENVER,000005SENVPTM000006000,00000625Q981I000006000,TONAL1000139014,1000139014,2/18/2021,In Progress,Open,Ready to Route,Ready to Schedule,Fully Received,No Hold,4/21/2021,Delivery,,1/1/1900,,,,,,,,,,,,4,,,,,,White Glove,06:00:00 - 18:00:00,WOLCOTT,CO,81655,39.6813086000,131.35
LMH Denver,LAST MILE HUB DENVER,000005Q6K7F40000004000,000005Q6K7GTQ000006000,TONAL1000121278,1000121278,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/23/2021,Delivery,3/22/2021,3/22/2021,3/22/2021,3/23/2021,3/22/2021,15,15,3/18/2021,,,3/18/2021,3/18/2021,3/22/2021,5,,,,,,White Glove,13:00:00 - 17:00:00,WOODY CREEK,CO,81656,39.2885966000,204.54
LMH Austin,LAST MILE HUB AUSTIN,000005EUQBNSC000002000,000005UFC5AN6000004000,TONAL1000107641,1000107641,2/18/2021,In Progress,Open,Ready to Route,Not Ready to Schedule,Not Received,No Hold,3/29/2021,Delivery,4/24/2021,5/22/2021,5/22/2021,,,,,,,4/2/2021,,,5/22/2021,,,,,,,White Glove,07:00:00 - 22:00:00,AUSTIN,TX,78731,30.3269929000,12.32
LMH Austin,LAST MILE HUB AUSTIN,000005IKMGI94000002000,000005LUR4CJ6000002000,TONAL1000127465,1000127465,2/18/2021,Completed,Cancelled,Cancelled,Ready to Schedule,Fully Received,No Hold,2/9/2021,Delivery,,1/1/1900,,,,,,,2/9/2021,2/12/2021,,,,2,,,,,,White Glove,06:00:00 - 18:00:00,AUSTIN,TX,78734,30.3899386000,32.87
LMH Austin,LAST MILE HUB AUSTIN,000005JO4B58O000006000,000005NDF3NS8000006000,TONAL1000116124,1000116124,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/27/2021,Delivery,2/27/2021,2/27/2021,2/27/2021,2/27/2021,2/27/2021,12,12,2/25/2021,2/25/2021,2/27/2021,2/26/2021,2/25/2021,2/27/2021,3,,,,,,White Glove,10:00:00 - 14:00:00,AUSTIN,TX,78731,30.3467410000,12.85
LMH Austin,LAST MILE HUB AUSTIN,000005KCS0SG2000006000,000005QKK6FSU000004000,TONAL1000087895RMA,1000087895-RMA,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/16/2021,Delivery,3/16/2021,3/16/2021,3/16/2021,3/16/2021,3/16/2021,4,4,3/9/2021,,3/16/2021,3/15/2021,3/9/2021,3/16/2021,0,,,,,,White Glove,12:00:00 - 16:00:00,AUSTIN,TX,78724,30.2911815000,15.07
LMH Austin,LAST MILE HUB AUSTIN,000005KRKTIKM000004000,000005M9DCU1A000002000,TONAL1000116935,1000116935,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/11/2021,Delivery,2/11/2021,2/11/2021,2/11/2021,2/11/2021,2/11/2021,2,2,2/8/2021,2/8/2021,2/11/2021,2/10/2021,2/8/2021,2/11/2021,2,,,,,,White Glove,12:00:00 - 16:00:00,AUSTIN,TX,78756,30.3284508000,11.88
LMH Austin,LAST MILE HUB AUSTIN,000005KSMM6CS000004000,000005N30KP9O000002000,TONAL1000112064,1000112064,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/12/2021,Delivery,3/22/2021,4/10/2021,4/10/2021,4/21/2021,4/12/2021,31,31,3/14/2021,2/21/2021,2/24/2021,4/7/2021,3/14/2021,4/10/2021,15,Not At Home/Business Closed,,,"Cannot Perform Stop,",,White Glove,08:00:00 - 12:00:00,AUSTIN,TX,78701,30.2677479000,16.44
LMH Austin,LAST MILE HUB AUSTIN,000005KSMM6CS000004000,0000060O4KHOA000002000,TONAL1000112064,1000112064,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,4/21/2021,Delivery,4/21/2021,4/21/2021,4/21/2021,4/21/2021,4/21/2021,8,,4/20/2021,,4/17/2021,4/21/2021,,4/21/2021,0,,,,,,White Glove,09:00:00 - 13:00:00,AUSTIN,TX,78701,30.2677479000,16.44
LMH Austin,LAST MILE HUB AUSTIN,000005LLQAP56000004000,000005LLQARVQ000004000,TONAL1000119498,1000119498,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/20/2021,Delivery,2/20/2021,2/20/2021,2/20/2021,2/20/2021,2/20/2021,10,10,2/12/2021,2/12/2021,2/17/2021,2/19/2021,2/12/2021,2/20/2021,2,,,,,,White Glove,12:00:00 - 16:00:00,AUSTIN,TX,78732,30.4160970000,18.59
LMH Austin,LAST MILE HUB AUSTIN,000005LLS1F78000004000,000005LLS1HCU000002000,TONAL1000118402,1000118402,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/20/2021,Delivery,2/17/2021,2/20/2021,2/20/2021,2/20/2021,2/20/2021,10,10,2/12/2021,2/12/2021,2/17/2021,2/20/2021,2/12/2021,2/20/2021,8,,,,,,White Glove,11:00:00 - 15:00:00,AUSTIN,TX,78731,30.3491244000,13.18
LMH Austin,LAST MILE HUB AUSTIN,000005LLTOF1E000002000,000005LLTOJIA000002000,TONAL1000115060,1000115060,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/23/2021,Delivery,2/17/2021,2/23/2021,2/23/2021,2/23/2021,2/23/2021,10,10,2/12/2021,2/12/2021,2/17/2021,2/23/2021,2/12/2021,2/23/2021,9,,,,,,White Glove,12:00:00 - 16:00:00,AUSTIN,TX,78726,30.3997330000,16.2
LMH Austin,LAST MILE HUB AUSTIN,000005M4S9T34000004000,000005M4SA0C2000004000,TONAL1000116493,1000116493,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/26/2021,Delivery,2/26/2021,2/26/2021,2/26/2021,2/26/2021,2/26/2021,18,18,2/23/2021,2/23/2021,2/26/2021,2/25/2021,2/23/2021,2/26/2021,4,,,,,,White Glove,14:00:00 - 18:00:00,AUSTIN,TX,78738,30.3388939000,27.48
LMH Austin,LAST MILE HUB AUSTIN,000005MLH2LNS000006000,000005MLH2OGI000002000,TONAL1000120073,1000120073,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/3/2021,Delivery,3/3/2021,3/3/2021,3/3/2021,3/3/2021,3/3/2021,17,17,2/26/2021,2/26/2021,3/3/2021,3/2/2021,2/26/2021,3/3/2021,2,,,,"Out of Time Window,",,White Glove,11:00:00 - 15:00:00,AUSTIN,TX,78726,30.4004561000,16.19
LMH Austin,LAST MILE HUB AUSTIN,000005MQCQPPE000006000,000005MQCQRSA000002000,TONAL1000121689,1000121689,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/27/2021,Delivery,2/27/2021,2/27/2021,2/27/2021,2/27/2021,2/27/2021,14,14,2/24/2021,2/24/2021,2/27/2021,2/26/2021,2/24/2021,2/27/2021,4,,,,,,White Glove,11:00:00 - 15:00:00,AUSTIN,TX,78746,30.2845918000,18.06
LMH Austin,LAST MILE HUB AUSTIN,000005MQDD412000006000,000005MQDD5Q0000004000,TONAL1000121683,1000121683,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,2/27/2021,Delivery,2/27/2021,2/27/2021,2/27/2021,2/27/2021,2/27/2021,14,14,2/24/2021,2/24/2021,2/27/2021,2/26/2021,2/24/2021,2/27/2021,2,,,,,,White Glove,13:00:00 - 17:00:00,AUSTIN,TX,78704,30.2418471000,18.7
LMH Austin,LAST MILE HUB AUSTIN,000005MQG8NKQ000002000,000005MQG8QC6000004000,TONAL1000122860,1000122860,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/4/2021,Delivery,3/4/2021,3/4/2021,3/4/2021,3/4/2021,3/4/2021,16,16,2/26/2021,2/26/2021,3/3/2021,3/3/2021,2/26/2021,3/4/2021,2,,,,"Out of Time Window,",,White Glove,18:00:00 - 22:00:00,AUSTIN,TX,78704,30.2265434000,20.12
LMH Austin,LAST MILE HUB AUSTIN,000005MQII10G000006000,000005MQII3V4000006000,TONAL1000163965,1000163965,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/17/2021,Delivery,3/10/2021,3/17/2021,3/17/2021,3/17/2021,3/17/2021,21,21,3/3/2021,2/26/2021,3/3/2021,3/17/2021,3/3/2021,3/17/2021,8,,,,,,White Glove,12:00:00 - 16:00:00,AUSTIN,TX,78704,30.2457860000,19.16
LMH Austin,LAST MILE HUB AUSTIN,000005MQII62G000006000,000005MQII9O0000006000,TONAL1000163964,1000163964,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/14/2021,Delivery,3/13/2021,3/13/2021,3/13/2021,3/14/2021,3/14/2021,16,16,2/26/2021,2/26/2021,3/3/2021,3/12/2021,2/26/2021,3/13/2021,2,,,,"Out of Time Window,",,White Glove,09:00:00 - 13:00:00,AUSTIN,TX,78704,30.2504522000,19.6
LMH Austin,LAST MILE HUB AUSTIN,000005O30BMES000002000,000005O30BQ5G000002000,TONAL1000121963,1000121963,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/6/2021,Delivery,3/6/2021,3/6/2021,3/6/2021,3/6/2021,3/6/2021,14,14,3/3/2021,3/1/2021,3/4/2021,3/3/2021,3/3/2021,3/6/2021,6,,,,,,White Glove,11:00:00 - 15:00:00,AUSTIN,TX,78738,30.2821560000,31.38
LMH Austin,LAST MILE HUB AUSTIN,000005O34U8IQ000004000,000005O34UBG0000006000,TONAL1000122507,1000122507,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/18/2021,Delivery,3/18/2021,3/18/2021,3/18/2021,3/18/2021,3/18/2021,15,15,3/4/2021,3/4/2021,3/9/2021,3/17/2021,3/4/2021,3/18/2021,2,,,,,,White Glove,12:00:00 - 16:00:00,AUSTIN,TX,78724,30.2919720000,14.98
LMH Austin,LAST MILE HUB AUSTIN,000005O7R7E76000004000,000005O7R7I14000006000,TONAL1000121156,1000121156,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/12/2021,Delivery,3/12/2021,3/12/2021,3/12/2021,3/12/2021,3/12/2021,18,18,3/8/2021,3/8/2021,3/11/2021,3/11/2021,3/8/2021,3/12/2021,2,,,,"Out of Time Window,",,White Glove,11:00:00 - 15:00:00,AUSTIN,TX,78746,30.3127304000,21.03
LMH Austin,LAST MILE HUB AUSTIN,000005OD31LK2000004000,000005OD31NPO000004000,738839,1000121570,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/11/2021,Delivery,3/11/2021,3/11/2021,3/11/2021,3/11/2021,3/11/2021,17,17,3/8/2021,3/8/2021,3/11/2021,3/11/2021,3/8/2021,3/11/2021,2,,,,,,White Glove,10:00:00 - 14:00:00,AUSTIN,TX,78717,30.4847112000,9.98
LMH Austin,LAST MILE HUB AUSTIN,000005OD3JTJG000004000,000005OD3K0D8000006000,738848,1000122711,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/14/2021,Delivery,3/13/2021,3/13/2021,3/13/2021,3/14/2021,3/14/2021,17,17,3/8/2021,3/8/2021,3/11/2021,3/12/2021,3/8/2021,3/13/2021,2,,,,"Out of Time Window,",,White Glove,10:00:00 - 14:00:00,AUSTIN,TX,78736,30.2346782000,25.01
LMH Austin,LAST MILE HUB AUSTIN,000005OD466EU000004000,000005OD468M6000006000,738854,1000122651,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/11/2021,Delivery,3/11/2021,3/11/2021,3/11/2021,3/11/2021,3/11/2021,17,17,3/8/2021,3/8/2021,3/11/2021,3/10/2021,3/8/2021,3/11/2021,2,,,,,,White Glove,14:00:00 - 18:00:00,AUSTIN,TX,78750,30.4539280000,11.97
LMH Austin,LAST MILE HUB AUSTIN,000005OD468ES000004000,000005OD46AJS000006000,738852,1000122243,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/11/2021,Delivery,3/11/2021,3/11/2021,3/11/2021,3/11/2021,3/11/2021,17,17,3/8/2021,3/8/2021,3/11/2021,3/10/2021,3/8/2021,3/11/2021,2,,,,,,White Glove,15:00:00 - 19:00:00,AUSTIN,TX,78738,30.3323388000,31.67
LMH Austin,LAST MILE HUB AUSTIN,000005Q1102A6000006000,000005Q1104ES000006000,TONAL1000130350,1000130350,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/20/2021,Delivery,3/19/2021,3/20/2021,3/20/2021,3/20/2021,3/20/2021,15,15,3/16/2021,3/16/2021,3/19/2021,3/16/2021,3/16/2021,3/20/2021,2,,,,,,White Glove,10:00:00 - 14:00:00,AUSTIN,TX,78750,30.4343567000,13.51
LMH Austin,LAST MILE HUB AUSTIN,000005Q14DV10000004000,000005Q14E178000002000,TONAL1000124197,1000124197,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/25/2021,Delivery,3/25/2021,3/25/2021,3/25/2021,3/25/2021,3/25/2021,23,23,3/24/2021,3/16/2021,3/20/2021,3/24/2021,3/24/2021,3/25/2021,10,,,,,,White Glove,15:00:00 - 19:00:00,AUSTIN,TX,78732,30.3470486000,41.81
LMH Austin,LAST MILE HUB AUSTIN,000005Q14DVMA000002000,000005Q14E2G2000002000,TONAL1000123897,1000123897,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/19/2021,Delivery,3/19/2021,3/19/2021,3/19/2021,3/19/2021,3/19/2021,15,15,3/16/2021,3/16/2021,3/19/2021,3/18/2021,3/16/2021,3/19/2021,2,,,,,,White Glove,11:00:00 - 15:00:00,AUSTIN,TX,78730,30.3514772000,19.72
LMH Austin,LAST MILE HUB AUSTIN,000005Q15088K000002000,000005Q150AGI000002000,TONAL1000125093,1000125093,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/20/2021,Delivery,3/20/2021,3/20/2021,3/20/2021,3/20/2021,3/20/2021,15,15,3/16/2021,3/16/2021,3/20/2021,3/20/2021,3/16/2021,3/20/2021,2,,,,,,White Glove,09:00:00 - 13:00:00,AUSTIN,TX,78752,30.3265816000,11.37
LMH Austin,LAST MILE HUB AUSTIN,000005Q17RRJ0000002000,000005Q17RUUI000004000,TONAL1000125282,1000125282,2/18/2021,Completed,Completed,Complete,Appointment Scheduled,Shipped,No Hold,3/19/2021,Delivery,3/19/2021,3/19/2021,3/19/2021,3/19/2021,3/19/2021,14,14,3/16/2021,3/16/2021,3/19/2021,3/18/2021,3/16/2021,3/19/2021,2,,,,"Out of Time Window,",,White Glove,13:00:00 - 17:00:00,AUSTIN,TX,78738,30.3222743000,27.57
